timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,te_temperature_degC,tc_fault
2026-07-21T15:37:21.081,,,0,,,
2026-07-21T15:37:21.583,0.9549,24.66,1,1.7970028789290172e-06,,
2026-07-21T15:37:22.096,0.9549,24.66,1,1.7970028789290172e-06,,
2026-07-21T15:37:22.595,0.9549,24.65,2,1.783589476512413e-06,,
2026-07-21T15:37:23.094,0.955,24.66,1,1.7970028789290172e-06,,
2026-07-21T15:37:23.595,0.9549,24.66,2,1.7970028789290172e-06,,
2026-07-21T15:37:24.093,0.9549,24.66,1,1.7970028789290172e-06,,
2026-07-21T15:37:24.575,0.955,24.66,1,1.7970028789290172e-06,,
2026-07-21T15:37:25.092,0.9549,24.66,2,1.783589476512413e-06,,
2026-07-21T15:37:25.592,0.955,24.65,1,1.7970028789290172e-06,,
2026-07-21T15:37:26.091,0.9549,24.66,2,1.783589476512413e-06,,
2026-07-21T15:37:26.590,0.955,24.66,1,1.7970028789290172e-06,,
2026-07-21T15:37:27.087,0.955,24.66,1,1.783589476512413e-06,,
2026-07-21T15:37:27.585,0.9549,24.66,2,1.7702761960079692e-06,,
2026-07-21T15:37:28.085,0.9549,24.66,1,1.7970028789290172e-06,,
2026-07-21T15:37:28.583,0.9549,24.66,2,1.783589476512413e-06,,
2026-07-21T15:37:29.084,0.955,24.65,1,1.783589476512413e-06,,
2026-07-21T15:37:29.598,0.955,24.66,1,1.7702761960079692e-06,,
2026-07-21T15:37:30.096,0.9549,24.66,2,1.783589476512413e-06,,
2026-07-21T15:37:30.577,0.9549,24.66,1,1.7702761960079692e-06,,
2026-07-21T15:37:31.092,0.9549,24.66,2,1.7970028789290172e-06,,
2026-07-21T15:37:31.588,0.955,24.66,1,1.783589476512413e-06,,
2026-07-21T15:37:32.086,0.955,24.66,1,1.783589476512413e-06,,
2026-07-21T15:37:32.586,0.9549,24.66,2,1.7970028789290172e-06,,
2026-07-21T15:37:33.097,0.9549,24.65,1,1.7970028789290172e-06,,
2026-07-21T15:37:33.595,0.9549,24.66,2,1.7702761960079692e-06,,
2026-07-21T15:37:34.076,0.9549,24.66,1,1.7702761960079692e-06,,
2026-07-21T15:37:34.575,0.9549,24.66,1,1.7970028789290172e-06,,
2026-07-21T15:37:35.087,0.9549,24.66,2,1.7970028789290172e-06,,
2026-07-21T15:37:35.595,0.9549,24.66,1,1.783589476512413e-06,,
