timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,te_temperature_degC,tc_fault
2026-07-21T15:37:40.691,,,0,,,
2026-07-21T15:37:41.195,0.9549,24.66,1,1.783589476512413e-06,28.0078125,0
2026-07-21T15:37:41.693,0.9549,24.66,1,1.7702761960079692e-06,27.921875,0
2026-07-21T15:37:42.204,0.9549,24.66,2,1.8105171562200022e-06,27.921875,0
2026-07-21T15:37:42.702,0.9549,24.66,1,1.7702761960079692e-06,27.8046875,0
2026-07-21T15:37:43.202,0.9549,24.66,2,1.783589476512413e-06,27.8359375,0
2026-07-21T15:37:43.687,0.9549,24.66,1,1.783589476512413e-06,28.8359375,0
2026-07-21T15:37:44.186,0.955,24.66,1,1.783589476512413e-06,28.6015625,0
2026-07-21T15:37:44.700,0.9549,24.66,2,1.7970028789290172e-06,28.7578125,0
2026-07-21T15:37:45.200,0.955,24.66,1,1.783589476512413e-06,29.671875,0
2026-07-21T15:37:45.697,0.9549,24.66,2,1.7702761960079692e-06,29.4921875,0
2026-07-21T15:37:46.198,0.9549,24.66,1,1.7970028789290172e-06,29.2578125,0
2026-07-21T15:37:46.696,0.9549,24.66,1,1.7702761960079692e-06,29.03125,0
2026-07-21T15:37:47.195,0.9549,24.66,2,1.7702761960079692e-06,28.78125,0
2026-07-21T15:37:47.694,0.9549,24.66,1,1.7570622900738048e-06,28.5546875,0
2026-07-21T15:37:48.192,0.9549,24.66,2,1.783589476512413e-06,28.3359375,0
2026-07-21T15:37:48.691,0.9549,24.66,1,1.7970028789290172e-06,28.1171875,0
2026-07-21T15:37:49.206,0.9549,24.66,2,1.7702761960079692e-06,27.921875,0
2026-07-21T15:37:49.687,0.9549,24.66,1,1.7702761960079692e-06,27.78125,0
2026-07-21T15:37:50.199,0.955,24.66,1,1.7702761960079692e-06,27.6796875,0
2026-07-21T15:37:50.683,0.9549,24.66,2,1.7702761960079692e-06,27.671875,0
2026-07-21T15:37:51.199,0.9549,24.66,1,1.7702761960079692e-06,27.625,0
2026-07-21T15:37:51.696,0.9549,24.66,1,1.7702761960079692e-06,27.6171875,0
2026-07-21T15:37:52.192,0.9549,24.66,2,1.7702761960079692e-06,29.25,0
2026-07-21T15:37:52.703,0.9549,24.66,1,1.7570622900738048e-06,30.7265625,0
2026-07-21T15:37:53.199,0.9549,24.66,2,1.7702761960079692e-06,31.6640625,0
2026-07-21T15:37:53.698,0.9549,24.66,1,1.7702761960079692e-06,32.0,0
2026-07-21T15:37:54.198,0.9549,24.66,2,1.783589476512413e-06,32.2890625,0
2026-07-21T15:37:54.696,0.955,24.66,1,1.7702761960079692e-06,32.140625,0
2026-07-21T15:37:55.193,0.955,24.66,1,1.7702761960079692e-06,31.734375,0
2026-07-21T15:37:55.694,0.955,24.66,2,1.7970028789290172e-06,31.4375,0
2026-07-21T15:37:56.190,0.9549,24.66,1,1.7702761960079692e-06,31.265625,0
2026-07-21T15:37:56.700,0.9549,24.66,2,1.783589476512413e-06,30.8125,0
2026-07-21T15:37:57.195,0.955,24.66,1,1.7570622900738048e-06,30.6640625,0
2026-07-21T15:37:57.700,0.9549,24.66,1,1.7570622900738048e-06,30.5234375,0
2026-07-21T15:37:58.206,0.9549,24.66,2,1.7702761960079692e-06,30.1953125,0
