timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,te_temperature_degC,tc_fault
2026-07-02T15:42:34.867,,,0,,,
2026-07-02T15:42:35.372,,,0,2.8880459609326536e-07,25.8828125,0
2026-07-02T15:42:35.869,,,0,2.8450922797981727e-07,25.8515625,0
2026-07-02T15:42:36.381,,,0,2.823855603937057e-07,25.8828125,0
2026-07-02T15:42:36.880,,,0,2.823855603937057e-07,25.828125,0
2026-07-02T15:42:37.381,,,0,2.8664886651008764e-07,25.828125,0
2026-07-02T15:42:37.882,,,0,2.823855603937057e-07,25.921875,0
2026-07-02T15:42:38.368,,,0,2.720026452030554e-07,25.8359375,0
2026-07-02T15:42:38.870,,,0,2.7610919562068117e-07,25.796875,0
2026-07-02T15:42:39.368,,,0,2.699723307381933e-07,25.984375,0
2026-07-02T15:42:39.882,,,0,2.823855603937057e-07,28.9921875,0
2026-07-02T15:42:40.370,,,0,2.7610919562068117e-07,33.015625,0
2026-07-02T15:42:40.872,,,0,2.7818566209492107e-07,34.375,0
2026-07-02T15:42:41.370,,,0,2.823855603937057e-07,35.1015625,0
2026-07-02T15:42:41.868,,,0,2.7610919562068117e-07,35.4375,0
2026-07-02T15:42:42.370,,,0,2.7818566209492107e-07,35.75,0
2026-07-02T15:42:42.870,,,0,2.802777445395338e-07,35.7265625,0
2026-07-02T15:42:43.372,,,0,2.7818566209492107e-07,34.78125,0
2026-07-02T15:42:43.874,,,0,2.8450922797981727e-07,34.1640625,0
2026-07-02T15:42:44.375,,,0,2.8664886651008764e-07,33.296875,0
2026-07-02T15:42:44.876,,,0,2.7818566209492107e-07,33.03125,0
2026-07-02T15:42:45.375,,,0,2.802777445395338e-07,32.5859375,0
2026-07-02T15:42:45.871,,,0,2.823855603937057e-07,32.0625,0
2026-07-02T15:42:46.369,,,0,2.802777445395338e-07,31.53125,0
2026-07-02T15:42:46.868,,,0,2.8450922797981727e-07,31.1875,0
2026-07-02T15:42:47.382,,,0,2.7404822855423306e-07,30.8984375,0
2026-07-02T15:42:47.881,,,0,2.8450922797981727e-07,30.7109375,0
2026-07-02T15:42:48.382,,,0,2.823855603937057e-07,30.3203125,0
2026-07-02T15:42:48.868,,,0,2.7818566209492107e-07,30.1171875,0
2026-07-02T15:42:49.381,,,0,2.802777445395338e-07,29.8359375,0
2026-07-02T15:42:49.879,,,0,2.8450922797981727e-07,29.5625,0
2026-07-02T15:42:50.379,,,0,2.823855603937057e-07,29.40625,0
2026-07-02T15:42:50.877,,,0,2.802777445395338e-07,29.2578125,0
2026-07-02T15:42:51.376,,,0,2.823855603937057e-07,29.078125,0
2026-07-02T15:42:51.878,,,0,2.802777445395338e-07,28.9453125,0
2026-07-02T15:42:52.378,,,0,2.823855603937057e-07,28.7890625,0
2026-07-02T15:42:52.877,,,0,2.7404822855423306e-07,28.671875,0
2026-07-02T15:42:53.379,,,0,2.823855603937057e-07,28.5625,0
2026-07-02T15:42:53.878,,,0,2.7610919562068117e-07,28.3203125,0
2026-07-02T15:42:54.379,,,0,2.720026452030554e-07,28.2734375,0
2026-07-02T15:42:54.881,,,0,2.7404822855423306e-07,28.1328125,0
2026-07-02T15:42:55.376,,,0,2.8664886651008764e-07,28.453125,0
2026-07-02T15:42:55.879,,,0,2.8450922797981727e-07,29.0234375,0
2026-07-02T15:42:56.378,,,0,2.8450922797981727e-07,29.1640625,0
2026-07-02T15:42:56.880,,,0,2.7818566209492107e-07,28.921875,0
2026-07-02T15:42:57.379,,,0,2.7404822855423306e-07,28.890625,0
2026-07-02T15:42:57.878,,,0,2.7610919562068117e-07,28.7890625,0
2026-07-02T15:42:58.377,,,0,2.802777445395338e-07,31.6875,0
2026-07-02T15:42:58.874,,,0,2.699723307381933e-07,33.7890625,0
2026-07-02T15:42:59.378,,,0,2.7404822855423306e-07,34.828125,0
2026-07-02T15:42:59.877,,,0,2.8450922797981727e-07,35.1640625,0
2026-07-02T15:43:00.375,,,0,2.8450922797981727e-07,35.375,0
2026-07-02T15:43:00.875,,,0,2.7610919562068117e-07,35.484375,0
2026-07-02T15:43:01.373,,,0,2.7818566209492107e-07,35.6640625,0
2026-07-02T15:43:01.871,,,0,2.8450922797981727e-07,35.703125,0
2026-07-02T15:43:02.374,,,0,2.8664886651008764e-07,35.75,0
2026-07-02T15:43:02.876,,,0,2.8450922797981727e-07,35.7578125,0
2026-07-02T15:43:03.376,,,0,2.8450922797981727e-07,35.828125,0
2026-07-02T15:43:03.876,,,0,2.8880459609326536e-07,35.7578125,0
2026-07-02T15:43:04.374,,,0,2.7610919562068117e-07,34.9609375,0
2026-07-02T15:43:04.875,,,0,2.7404822855423306e-07,34.1796875,0
2026-07-02T15:43:05.373,,,0,2.8664886651008764e-07,33.5,0
2026-07-02T15:43:05.876,,,0,2.8880459609326536e-07,32.78125,0
2026-07-02T15:43:06.381,,,0,2.7404822855423306e-07,32.375,0
2026-07-02T15:43:06.877,,,0,2.8450922797981727e-07,31.90625,0
2026-07-02T15:43:07.382,,,0,2.7818566209492107e-07,31.375,0
2026-07-02T15:43:07.879,,,0,2.823855603937057e-07,31.0,0
