timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,te_temperature_degC,tc_fault
2026-07-21T15:40:28.792,,,0,,,
2026-07-21T15:40:29.301,0.955,24.69,1,,,
2026-07-21T15:40:29.799,0.9551,24.69,1,,,
2026-07-21T15:40:30.300,0.9549,24.69,2,,,
2026-07-21T15:40:30.798,0.955,24.69,1,,,
2026-07-21T15:40:31.296,0.9549,24.69,2,,,
2026-07-21T15:40:31.790,0.9551,24.69,1,,,
2026-07-21T15:40:32.299,0.955,24.69,1,,,
2026-07-21T15:40:32.804,0.9549,24.69,2,,,
2026-07-21T15:40:33.298,0.955,24.69,1,,,
2026-07-21T15:40:33.805,0.955,24.69,2,,,
2026-07-21T15:40:34.299,0.955,24.69,1,,,
2026-07-21T15:40:34.807,0.955,24.69,1,,,
2026-07-21T15:40:35.299,0.9549,24.69,2,,,
2026-07-21T15:40:35.791,0.955,24.69,1,,,
2026-07-21T15:40:36.297,0.9549,24.69,2,,,
2026-07-21T15:40:36.805,0.955,24.69,1,,,
2026-07-21T15:40:37.299,0.955,24.69,1,,,
2026-07-21T15:40:37.793,0.955,24.69,2,,,
2026-07-21T15:40:38.299,0.955,24.69,1,,,
