timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,te_temperature_degC,tc_fault
2026-07-07T16:31:13.320,,,0,,,
2026-07-07T16:31:13.814,0.9534,23.61,1,1.2171593769913623e-06,,64
2026-07-07T16:31:14.322,0.9534,23.62,1,1.2171593769913623e-06,,64
2026-07-07T16:31:14.823,0.9534,23.62,1,1.2171593769913623e-06,,64
2026-07-07T16:31:15.325,0.9534,23.62,2,1.2171593769913623e-06,,64
2026-07-07T16:31:15.817,0.9533,23.62,1,1.2171593769913623e-06,,64
2026-07-07T16:31:16.322,0.9534,23.62,1,1.2263129679626702e-06,,64
2026-07-07T16:31:16.826,0.9534,23.62,2,1.2263129679626702e-06,,64
2026-07-07T16:31:17.319,0.9534,23.62,1,1.2171593769913623e-06,,64
2026-07-07T16:31:17.828,0.9534,23.62,1,1.2263129679626702e-06,,64
2026-07-07T16:31:18.320,0.9534,23.62,1,1.2171593769913623e-06,,64
2026-07-07T16:31:18.828,0.9534,23.62,2,1.2355353980928074e-06,,64
2026-07-07T16:31:19.316,0.9534,23.62,1,1.2171593769913623e-06,,64
2026-07-07T16:31:19.824,0.9534,23.62,1,1.2171593769913623e-06,,64
2026-07-07T16:31:20.335,0.9534,23.62,2,1.2171593769913623e-06,,64
2026-07-07T16:31:20.826,0.9534,23.62,1,1.208074111341449e-06,,64
2026-07-07T16:31:21.323,0.9534,23.62,1,1.2263129679626702e-06,,64
2026-07-07T16:31:21.826,0.9535,23.62,1,1.2263129679626702e-06,,64
2026-07-07T16:31:22.327,0.9534,23.62,2,1.2263129679626702e-06,,64
2026-07-07T16:31:22.822,0.9535,23.62,1,1.208074111341449e-06,,64
2026-07-07T16:31:23.323,0.9533,23.62,1,1.2263129679626702e-06,,64
2026-07-07T16:31:23.832,0.9534,23.62,2,1.2355353980928074e-06,,64
2026-07-07T16:31:24.324,0.9534,23.62,1,1.2355353980928074e-06,,64
2026-07-07T16:31:24.823,0.9534,23.62,1,1.2171593769913623e-06,,64
2026-07-07T16:31:25.333,0.9534,23.62,1,1.2263129679626702e-06,,64
2026-07-07T16:31:25.826,0.9534,23.62,2,1.2171593769913623e-06,,64
2026-07-07T16:31:26.315,0.9533,23.62,1,1.2171593769913623e-06,,64
2026-07-07T16:31:26.817,0.9533,23.62,1,1.2263129679626702e-06,,64
2026-07-07T16:31:27.333,0.9534,23.62,2,1.2263129679626702e-06,,64
2026-07-07T16:31:27.818,0.9534,23.62,1,1.2171593769913623e-06,,64
2026-07-07T16:31:28.321,0.9534,23.62,1,1.2263129679626702e-06,,64
2026-07-07T16:31:28.821,0.9534,23.62,1,1.2263129679626702e-06,,64
2026-07-07T16:31:29.324,0.9534,23.62,2,1.2263129679626702e-06,,64
