timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,te_temperature_degC,tc_fault
2026-07-21T15:34:58.605,,,0,,,
2026-07-21T15:34:59.109,0.955,24.64,1,1.9513778030428477e-06,,
2026-07-21T15:34:59.608,0.9549,24.64,1,1.9513778030428477e-06,,
2026-07-21T15:35:00.105,0.955,24.64,1,1.9513778030428477e-06,,
2026-07-21T15:35:00.604,0.9549,24.64,2,1.9513778030428477e-06,,
2026-07-21T15:35:01.103,0.955,24.64,1,1.9513778030428477e-06,,
2026-07-21T15:35:01.617,0.955,24.64,1,1.966053049832386e-06,,
2026-07-21T15:35:02.115,0.955,24.64,2,1.966053049832386e-06,,
2026-07-21T15:35:02.617,0.955,24.64,1,1.9513778030428477e-06,,
2026-07-21T15:35:03.114,0.955,24.64,1,1.966053049832386e-06,,
2026-07-21T15:35:03.613,0.955,24.64,2,1.9513778030428477e-06,,
2026-07-21T15:35:04.113,0.955,24.64,1,1.9513778030428477e-06,,
2026-07-21T15:35:04.612,0.955,24.65,1,1.9513778030428477e-06,,
2026-07-21T15:35:05.110,0.9549,24.65,1,1.9513778030428477e-06,,
2026-07-21T15:35:05.610,0.955,24.64,2,1.9513778030428477e-06,,
2026-07-21T15:35:06.108,0.955,24.64,1,1.9368120969741727e-06,,
2026-07-21T15:35:06.608,0.955,24.65,1,1.9513778030428477e-06,,
2026-07-21T15:35:07.110,0.9549,24.64,2,1.9368120969741727e-06,,
2026-07-21T15:35:07.608,0.955,24.65,1,1.9513778030428477e-06,,
2026-07-21T15:35:08.106,0.955,24.64,2,1.9513778030428477e-06,,
2026-07-21T15:35:08.603,0.9549,24.65,1,1.9513778030428477e-06,,
2026-07-21T15:35:09.120,0.9549,24.64,1,1.9368120969741727e-06,,
2026-07-21T15:35:09.617,0.9549,24.65,2,1.9513778030428477e-06,,
2026-07-21T15:35:10.116,0.955,24.64,1,1.9368120969741727e-06,,
2026-07-21T15:35:10.613,0.9549,24.64,1,1.9513778030428477e-06,,
2026-07-21T15:35:11.112,0.955,24.64,2,1.9513778030428477e-06,,
2026-07-21T15:35:11.593,0.955,24.65,1,1.9368120969741727e-06,,
2026-07-21T15:35:12.105,0.955,24.64,2,1.9223551139795e-06,,
2026-07-21T15:35:12.620,0.955,24.64,1,1.9513778030428477e-06,,
2026-07-21T15:35:13.103,0.955,24.64,1,1.9368120969741727e-06,,
2026-07-21T15:35:13.615,0.9549,24.64,2,1.9513778030428477e-06,,
2026-07-21T15:35:14.112,0.955,24.64,1,1.9368120969741727e-06,,
2026-07-21T15:35:14.611,0.955,24.64,2,1.9513778030428477e-06,,
2026-07-21T15:35:15.109,0.955,24.64,1,1.9513778030428477e-06,,
2026-07-21T15:35:15.606,0.955,24.64,1,1.9223551139795e-06,,
