timestamp,keller_pressure_bar,keller_temperature_degC,n_keller_samples,vacuum_chamber_mbar,te_temperature_degC,tc_fault
2026-07-21T15:36:17.824,,,0,,,
2026-07-21T15:36:18.337,0.955,24.65,1,1.8516728521565725e-06,,
2026-07-21T15:36:18.832,0.955,24.65,1,1.8516728521565725e-06,,
2026-07-21T15:36:19.314,0.955,24.65,2,1.8378513756296791e-06,,
2026-07-21T15:36:19.832,0.9549,24.65,1,1.8378513756296791e-06,,
2026-07-21T15:36:20.312,0.9549,24.65,1,1.8378513756296791e-06,,
2026-07-21T15:36:20.828,0.955,24.65,2,1.8378513756296791e-06,,
2026-07-21T15:36:21.324,0.955,24.65,1,1.8378513756296791e-06,,
2026-07-21T15:36:21.823,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:22.324,0.955,24.65,2,1.8378513756296791e-06,,
2026-07-21T15:36:22.837,0.955,24.65,1,1.8378513756296791e-06,,
2026-07-21T15:36:23.324,0.9549,24.64,2,1.8241330670102055e-06,,
2026-07-21T15:36:23.823,0.9549,24.65,1,1.8378513756296791e-06,,
2026-07-21T15:36:24.337,0.9549,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:24.837,0.9549,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:25.337,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:25.837,0.955,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:26.321,0.955,24.65,1,1.8378513756296791e-06,,
2026-07-21T15:36:26.823,0.955,24.65,1,1.8378513756296791e-06,,
2026-07-21T15:36:27.321,0.955,24.65,2,1.8378513756296791e-06,,
2026-07-21T15:36:27.834,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:28.318,0.955,24.65,1,1.8378513756296791e-06,,
2026-07-21T15:36:28.831,0.955,24.65,2,1.8378513756296791e-06,,
2026-07-21T15:36:29.332,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:29.831,0.955,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:30.311,0.9549,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:30.825,0.955,24.65,1,1.8378513756296791e-06,,
2026-07-21T15:36:31.338,0.9549,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:31.836,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:32.335,0.9549,24.65,2,1.8378513756296791e-06,,
2026-07-21T15:36:32.831,0.955,24.65,1,1.8378513756296791e-06,,
2026-07-21T15:36:33.332,0.955,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:33.830,0.9549,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:34.312,0.955,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:34.827,0.9549,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:35.326,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:35.825,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:36.336,0.955,24.65,2,1.8378513756296791e-06,,
2026-07-21T15:36:36.834,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:37.333,0.9549,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:37.833,0.9549,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:38.316,0.955,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:38.831,0.9551,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:39.312,0.9549,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:39.827,0.9549,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:40.325,0.955,24.65,1,1.8378513756296791e-06,,
2026-07-21T15:36:40.822,0.9549,24.65,2,1.8105171562200022e-06,,
2026-07-21T15:36:41.334,0.955,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:41.830,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:42.331,0.9549,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:42.832,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:43.331,0.955,24.65,2,1.8378513756296791e-06,,
2026-07-21T15:36:43.830,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:44.312,0.9549,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:44.825,0.9549,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:45.326,0.9549,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:45.825,0.9549,24.65,2,1.8241330670102055e-06,,
2026-07-21T15:36:46.336,0.955,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:46.835,0.9549,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:47.334,0.9549,24.65,2,1.8105171562200022e-06,,
2026-07-21T15:36:47.830,0.9549,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:48.316,0.9549,24.65,2,1.8105171562200022e-06,,
2026-07-21T15:36:48.834,0.9549,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:49.318,0.9549,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:49.833,0.9549,24.66,2,1.8241330670102055e-06,,
2026-07-21T15:36:50.333,0.9549,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:50.832,0.9549,24.65,2,1.8105171562200022e-06,,
2026-07-21T15:36:51.312,0.9549,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:51.826,0.955,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:52.324,0.955,24.66,2,1.8241330670102055e-06,,
2026-07-21T15:36:52.821,0.9549,24.66,1,1.8241330670102055e-06,,
2026-07-21T15:36:53.334,0.955,24.65,2,1.8105171562200022e-06,,
2026-07-21T15:36:53.831,0.955,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:54.332,0.955,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:54.833,0.955,24.65,2,1.8105171562200022e-06,,
2026-07-21T15:36:55.330,0.955,24.65,1,1.8241330670102055e-06,,
2026-07-21T15:36:55.826,0.955,24.65,2,1.7970028789290172e-06,,
2026-07-21T15:36:56.339,0.955,24.65,1,1.8105171562200022e-06,,
2026-07-21T15:36:56.837,0.955,24.65,2,1.8105171562200022e-06,,
